id,title,buyer,value,cpvs,stage,published_date,date_modified,contract_start,contract_end,description,source,source_url,batch_id
033a6847-82a6-4030-9ad0-3eadc2586851-892875,SZC - Waterproofing Materials,Sizewell C Limited,5000000,45261420,tender,2026-04-14T17:10:04+01:00,,2026-11-03T00:00:00Z,2027-12-02T23:59:59Z,"The waterproofing package includes the supply of all materials, namely bonded and unbonded membranes, waterbar materials and accessories, which are assembled and installed to form a specific waterproofing system to meet the design requirements. Dependent on the waterproofing system used, the waterproofing materials can be cast into the concrete when poured or applied post pour. The system design is installed to prevent the ingress of water into. 
      
      The requirement includes 120,000 m2 bonded membrane, 45,000 m2 unbonded membrane, 30,000 l/m joint waterbars, 4,500 l/m hydrophilic waterbars, 15,800 l/m elastomer waterbars, 36,540 l/m PVC waterbars as well as related accessories such as 22,000 units of sealants and adhesives and compressible materials to suit seismic design.",Contracts Finder,https://www.contractsfinder.service.gov.uk/Notice/033a6847-82a6-4030-9ad0-3eadc2586851,batch_20260414_194909
7e19e3ab-7978-4707-b7d1-d6fcd46bff87-892830,DPS1 1370 - THE AVENUE N17 HG6 PLANE TREES Tree Works,London Borough of Haringey,90000,"71000000, 71400000, 71410000, 71420000, 71421000",tender,2026-04-14T15:10:56+01:00,,2026-10-19T01:00:00+01:00,2026-10-23T23:59:59+01:00,"DPS1 1370 - THE AVENUE N17 HG6 PLANE TREES Tree Works\r


Additional information: 
https://londonconstructionprogramme.co.uk/services/dynamic-purchasing-systems/",Contracts Finder,https://www.contractsfinder.service.gov.uk/Notice/7e19e3ab-7978-4707-b7d1-d6fcd46bff87,batch_20260414_194909
8237eb65-a6df-4721-836c-d3818348539d-892820,DPS1 1355 - Fairland Park N8 Insurance Work Tree Works,London Borough of Haringey,90000,"71000000, 71400000, 71410000, 71420000, 71421000",tender,2026-04-14T14:45:26+01:00,,2026-10-19T01:00:00+01:00,2026-10-23T23:59:59+01:00,"DPS1 1355 - Fairland Park N8 Insurance Work Tree Works\r


Additional information: 
https://londonconstructionprogramme.co.uk/services/dynamic-purchasing-systems/",Contracts Finder,https://www.contractsfinder.service.gov.uk/Notice/8237eb65-a6df-4721-836c-d3818348539d,batch_20260414_194909
2ddbaea2-f49f-438d-bc6f-682fd7a9c05a-892803,Old Oak Common - Lighting Controller Ancillary Equipment (LGHT1),Anthro JV,1000000,31527260,tender,2026-04-14T14:20:04+01:00,,2027-01-05T00:00:00Z,2032-01-05T23:59:59Z,Anthro is seeking to establish a framework agreement with an experienced lighting control system company to supply goods and ancillaries in relation to Lighting Control Systems,Contracts Finder,https://www.contractsfinder.service.gov.uk/Notice/2ddbaea2-f49f-438d-bc6f-682fd7a9c05a,batch_20260414_194909
106e5736-667b-4eca-b4b9-b76a5a87d96b-892801,GB-Liverpool: Evaluation Partner - to Evaluate the Impact that Torus Foundation has across Torus Neighbourhoods and Communities,Torus Foundation,50000,73210000,tender,2026-04-14T14:10:07+01:00,,2026-06-01T00:00:00+01:00,2026-12-31T23:59:59Z,"Torus Foundation would like to commission an evaluation partner to:
      •Independently evaluate the impact that the Torus Foundation has in Torus neighbourhoods and communities for the period April 2023 - March 2026 (inclusive).
      •Where possible, determine the Social Return on Investment from its programmes. 
      •Provide advice on whether Torus Foundation is collecting the appropriate data and delivering expected and helpful outcomes.
      •Using external sources assess good practice and advise on what, in the area Torus Foundation is operating and beyond, on what 'good' looks like.  Advise on improvements that can be made to processes, performance and data as well as a comprehensive suite of Key Performance Indicators's (KPI) and Management Information (MI). 
      •Advise on: 
      What programmes/areas of activity deliver the greatest positive impact?
      What areas should we invest in for the most impact?
      What areas should we disinvest/disengage from?
      Develop theories of change where possible which include credible attribution towards prevention.
      
      The contract will commence on 1st June 2026 and will run for approx 7 months.

Additional information: The contracting authority considers that this contract may be suitable for economic operators that are small or medium enterprises (SMEs). However, any selection of tenderers will be based solely on the criteria set out for the procurement.",Contracts Finder,https://www.contractsfinder.service.gov.uk/Notice/106e5736-667b-4eca-b4b9-b76a5a87d96b,batch_20260414_194909
2f52927f-752d-4451-8f61-58981aeada06-892756,DPS1 1353 - Alexandra Park Allotment N10 Tree Works,London Borough of Haringey,90000,"71000000, 71400000, 71410000, 71420000, 71421000",tender,2026-04-14T11:40:03+01:00,,2026-09-28T01:00:00+01:00,2026-10-16T23:59:59+01:00,"DPS1 1353 - Alexandra Park Allotment N10 Tree Works\r


Additional information: 
https://londonconstructionprogramme.co.uk/services/dynamic-purchasing-systems/",Contracts Finder,https://www.contractsfinder.service.gov.uk/Notice/2f52927f-752d-4451-8f61-58981aeada06,batch_20260414_194909
23daffc3-47a9-4d62-849f-dc809b435d48-892748,5043.EFM.SW Teaching & Learning Spaces Refurbishment 2026,UNIVERSITY OF SHEFFIELD,200000,45453100,tender,2026-04-14T11:08:18+01:00,,2026-06-08T00:00:00+01:00,2026-09-18T23:59:59+01:00,"The University of Sheffield is out to tender on behalf of the Department of Estates and Facilities Management for refurbishment works across a number of University buildings.

Scope of Requirement:
The project comprises the refurbishment of teaching space areas throughout nine buildings within the University of Sheffield's campus: Alfred Denny, Bartolome House, Jessop West, Regents Court, Sir Robert Hadfield Building, Sir Henry Stephenson Building, Pam Liversidge, Hicks Building and The Diamond Building.  The full technical specification can be found in the tender documentation which will be sent to you once you have expressed your interest. 

Tender Process and Documentation:

This is an open exercise. The ITT can be downloaded by registering and expressing your interest on the University`s e-tendering system https://in-tendhost.co.uk/Sheffield.

If you have any questions or comments in relation to this tender they must be submitted via the In-tend System, this can be accessed at https://in-tendhost.co.uk/Sheffield

Completed tenders must be returned through the same e-tendering system.

Closing date for receipt of tenders: 1st May 2025 at 12:00 noon

Additional information: The University of Sheffield is not a contracting authority for the purposes of the Procurement Act 2023.
The University reserves the right from time to time to voluntarily operate under the Procurement Act 2023 on a case by case basis. Otherwise, advertisement of any contract in Find a Tender Service or Contracts Finder is at the sole discretion of the University and is undertaken on a voluntary basis with no implied obligation to comply with the procurement legislation.
For the avoidance of doubt, this procurement is not subject to the Procurement Act 2023.",Contracts Finder,https://www.contractsfinder.service.gov.uk/Notice/23daffc3-47a9-4d62-849f-dc809b435d48,batch_20260414_194909
e1ae008d-c37f-43fe-af7b-3400625568a5-892746,DPS1 1363 - Wolves Lane Allotments N22 Tree Works,London Borough of Haringey,90000,"71000000, 71400000, 71410000, 71420000, 71421000",tender,2026-04-14T11:01:43+01:00,,2026-09-28T01:00:00+01:00,2026-10-16T23:59:59+01:00,"DPS1 1363 - Wolves Lane Allotments N22 Tree Works\r


Additional information: 
https://londonconstructionprogramme.co.uk/services/dynamic-purchasing-systems/",Contracts Finder,https://www.contractsfinder.service.gov.uk/Notice/e1ae008d-c37f-43fe-af7b-3400625568a5,batch_20260414_194909
a2cf0d56-8248-4df3-a2d5-7780339c56d9-892740,LOT: 2 Skills Education Advisers - TQES (ECSC) - Re-open,Department for Education,,80000000,tender,2026-04-14T10:43:31+01:00,,2026-06-15T00:00:00+01:00,2031-03-31T23:59:59+01:00,"The Department for Education is inviting tenders in line with this specification for suppliers to join Lot 2: Skills Education Advisers - Technical and Vocational Qualifications (TVQ) of the Educational and Children's Social Care Professionals (ECSC) Framework. Suppliers must have successfully responded to all mandatory pre-qualification questions in the overarching ITT prior to responding to the Lot-specific requirements contained within this Invitation to Tender.

Additional information: 
Suppliers wishing to access this opportunity see ITT_3928",Contracts Finder,https://www.contractsfinder.service.gov.uk/Notice/a2cf0d56-8248-4df3-a2d5-7780339c56d9,batch_20260414_194909
ce9506e5-d1cf-419b-86c0-9b33fca0e4bb-892736,Tree works - Finsbury Park,London Borough of Haringey,90000,"71000000, 71400000, 71410000, 71420000, 71421000",tender,2026-04-14T10:28:25+01:00,,2026-09-14T01:00:00+01:00,2026-10-03T23:59:59+01:00,"Tree works

Additional information: 
https://londonconstructionprogramme.co.uk/services/dynamic-purchasing-systems/",Contracts Finder,https://www.contractsfinder.service.gov.uk/Notice/ce9506e5-d1cf-419b-86c0-9b33fca0e4bb,batch_20260414_194909
