id,title,buyer,value,cpvs,stage,published_date,date_modified,contract_start,contract_end,description,source,source_url,batch_id
rls-1-APR553835,Supply and Installation of UPVC Windows & Doors,East Ayrshire Council,,"44221000, 44221220, 45421100",planning,2026-04-14T00:00:00Z,,,,"Supply and installation of windows and doors, including fire doors within council owned domestic properties.",Public Contracts Scotland,https://www.publiccontractsscotland.gov.uk,batch_20260414_194917
rls-2-APR553817,PIN - Easter Langlee Solar PV Feasibility Study,Scottish Borders Council,,"71311300, 71311000, 71313000, 71314300, 71351200",planning,2026-04-14T00:00:00Z,,,,Scottish Borders Council are seeking to engage with the market in relation to a proposed feasibility study for installation of solar PV at a former landfill.,Public Contracts Scotland,https://www.publiccontractsscotland.gov.uk,batch_20260414_194917
rls-3-APR553754,"New Town Quarter, Edinburgh",The Wheatley Housing Group Limited,30000000.0,"45000000, 45211360",planning,2026-04-13T00:00:00Z,,,,"The New Town Quarter development, located on Dundas Street, on the northern edge of Edinburghâs New Town World Heritage Site. This brief is to deliver the affordable housing component (consisting of 108 Mid-Market Rent (MMR) homes delivered across a single block) of the wider mixed-use redevelopment of the former Royal Bank of Scotland headquarters, representing one of the cityâs most significant brownfield regeneration opportunities.",Public Contracts Scotland,https://www.publiccontractsscotland.gov.uk,batch_20260414_194917
rls-4-APR553726,Courier Services,The Common Services Agency (more commonly known as Public Services Delivery Scotland) (PSD Scotland),800000.0,64120000,planning,2026-04-13T00:00:00Z,,,,"PSD requires a contract to be in place for the collection and delivery of documents and parcels throughout Scotland, including the Highlands and Islands.",Public Contracts Scotland,https://www.publiccontractsscotland.gov.uk,batch_20260414_194917
rls-5-APR553682,Water Management Domestic Legionella Risk Assessments,Renfrewshire Council,,90711000,planning,2026-04-13T00:00:00Z,,,,"Renfrewshire Council has the requirement to appoint a Contractor to carry out Legionella Risk Assessment of the full Council estate for Domestic Properties (circa 12,000 + properties). The Contractor will be required to provide Legionella Risk Assessment documentation for all properties in accordance with current legislation.",Public Contracts Scotland,https://www.publiccontractsscotland.gov.uk,batch_20260414_194917
rls-6-APR553549,North Lanarkshire Council (NLC) - Provision of estate-wide 1Gbps capable FTTP Broadband Services to NLC Social Housing,North Lanarkshire Council,40000000.0,"45314000, 32400000, 32524000, 35125100, 64210000, 64200000, 45230000, 45231000, 32562000, 32520000",planning,2026-04-09T00:00:00Z,,,,"North Lanarkshire Council (NLC) is seeking expressions of interest from suitably qualified and experienced providers to participate in a market engagement exercise relating to a forthcoming procurement for the largeâscale installation of full fibre (FTTP) infrastructure across its housing estate.
 This programme forms a core element of the Councilâs Digital North Lanarkshire ambitions, which aim to reduce digital exclusion, enhance independent living, and ensure tenants have improved access to highâquality digital services and greater control over how they interact with council systems.
 This Prior Information Notice (PIN) is issued solely for early market engagement.
 Its purpose is to:
 -Inform the market of the Councilâs intention to procure an endâtoâend FTTP installation partner.
 -Understand supplier capability and capacity.
 -Refine the procurement strategy prior to publication of the formal tender.
 This PIN is not a call for competition.
 The forthcoming procurement will seek to appoint a provider (or providers) capable of managing the full lifecycle delivery of a 1 gigabit-capable full fibre network to approximately 36,000 social housing properties across North Lanarkshire.
 The focus of this procurement is on endâtoâend design, build, installation and commissioning of FTTP infrastructure, including all enabling and assurance activities.
 Further Information is avaliable within the document contained within the ""Additional Documents"" section attached to this Prior Information Notice.",Public Contracts Scotland,https://www.publiccontractsscotland.gov.uk,batch_20260414_194917
rls-7-APR553468,Delivering sustainability and carbon neutral targets through innovative technological solutions.,The Common Services Agency (which from 1st April 2026 is known as 'Public Services Delivery Scotland'),,71314000,planning,2026-04-08T00:00:00Z,,,,"The Common Services Agency (which from 1st April 2026 is known as 'Public Services Delivery Scotland') are acting on behalf of NHS Greater Glasgow & Clyde (GG&C), and NHS Golden Jubilee (NHS GJ) (also known as National Waiting Times Centre (NWTC)), are seeking expressions of interest from parties capable of assisting in the achievement of carbon reduction goal of reducing greenhouse gas emissions from our buildings by at least 75% by 2030 compared to a 1990 baseline; using renewable heating systems by 2038 for all NHS-owned buildings; and for all our estate to have net-zero emissions by 2040 or earlier where possible. This will be accomplished by increasing energy efficiency of our built environment and transitioning away from fossil fuels. Through this process there are opportunities to develop income generation schemes for the Health Boards through fully funded technological solutions.
 This PIN is issued to inform the market of our future intentions and to facilitate the formation of a successful partnerships with suppliers who can provide fully funded solutions with no financial capital expenditure required from the Health Boards.",Public Contracts Scotland,https://www.publiccontractsscotland.gov.uk,batch_20260414_194917
rls-8-APR553414,Scottish Electronic Tax System (SETS),Revenue Scotland,,"72000000, 48100000, 48400000, 72212000",planning,2026-04-08T00:00:00Z,,,,"Revenue Scotland is seeking information from the market in relation to the next version of / replacement for its existing tax administration platform, SETS.
 The current platform supports the collection and operational management of devolved Scottish taxes. It enables taxpayers and their agents to submit tax returns and make payments to Revenue Scotland, and enables staff to process returns, manage taxpayer records through a number of statutory processes, reconcile inbound & outbound payments with tax declared, and undertake tax compliance activity and operational casework.",Public Contracts Scotland,https://www.publiccontractsscotland.gov.uk,batch_20260414_194917
rls-9-APR553356,SF_0567 - Research and Development Framework Agreement,Scottish Forestry,,"73200000, 79310000, 73100000",planning,2026-04-07T00:00:00Z,,,,"Scottish Forestry intends to establish a multi-supplier framework agreement that will provide essential support to Scottish Forestry by undertaking new research, performing analytical work against defined criteria, and factual reporting on evidence and recommendations in relation to tree health research across Scotland. This framework will directly contribute to the delivery of the strategic objectives outlined in Scottish Forestryâs Corporate Strategy and Plan 2025â2030.
 Research activities under this framework will include support for Scottish Forestry in meeting its policy and regulatory responsibilities related to tree pests and diseases and may also include the requirement to work collaboratively and to present the research and findings to stakeholders.",Public Contracts Scotland,https://www.publiccontractsscotland.gov.uk,batch_20260414_194917
rls-10-APR553347,RUTHRIESTON ROAD BRIDGE REPAIRS - RFI,Aberdeen City Council,,45221119,planning,2026-04-07T00:00:00Z,,,,Repair and conservation works of a historic non-vehicular bridge,Public Contracts Scotland,https://www.publiccontractsscotland.gov.uk,batch_20260414_194917
